trial,participant,setSize,pSwap,pTarget,pBestFoil,bestXi,bestFoilXi,visualFoil,visualMatch,resp,target,bestFoil,bestFoilIdx,dTarget,dBestFoil,dInferredFoil,foilMargin,score
3759,38,6,0.614818181818182,0.385181818181818,0.390836884928322,1,6,5,1,0.3642926535,1.5693926535,0.3521,4,1.2051,0.0121926535000002,0.0121926535000002,1.1929073465,7.49657982215166
8267,83,6,0.862772727272727,0.137227272727273,0.681203613140786,6,6,5,1,3.0485926535,1.6816926535,2.9738926535,4,1.3669,0.0747,0.0747,1.2922,7.05895195589835
6641,67,6,0.652909090909091,0.347090909090909,0.383281936267639,6,6,5,1,2.1240926535,0.5954926535,2.1561926535,1,1.5286,0.0320999999999998,0.0320999999999998,1.4965,6.98637536692476
4448,45,6,0.648136363636364,0.351863636363636,0.311577912041591,1,5,4,1,0.4784926535,1.7588926535,0.4875,4,1.2804,0.00900734649999996,0.00900734649999996,1.2713926535,6.71336523093015
4870,49,6,0.752909090909091,0.247090909090909,0.380277589051732,6,6,5,1,0.4966,1.9211,0.4672,3,1.4245,0.0294,0.0294,1.3951,6.68167839403114
5955,60,6,0.796045454545455,0.203954545454545,0.603205128205128,6,6,5,1,0.3756,1.9391,0.2884,5,1.5635,0.0872,0.0872,1.4763,6.49061028257457
7368,74,6,0.733136363636364,0.266863636363636,0.453182875355328,1,3,2,1,0.2412,1.3805926535,0.2122,5,1.1393926535,0.029,0.029,1.1103926535,6.36975867704509
9274,93,6,0.7115,0.2885,0.444904924427109,6,6,5,1,2.2939,0.8445,2.2454926535,1,1.4494,0.0484073464999999,0.0484073464999999,1.4009926535,6.33396339599862
5522,56,3,0.449772727272727,0.550227272727273,0.436024389125751,1,3,2,1,0.4321926535,1.6772926535,0.4662,2,1.2451,0.0340073465,0.0340073465,1.2110926535,6.28594946058702
8974,90,6,0.719318181818182,0.280681818181818,0.385164654483957,6,6,5,1,2.8217926535,1.7434926535,2.8398926535,3,1.0783,0.0181,0.0181,1.0602,5.99635193368416
1316,14,3,0.633454545454545,0.366545454545455,0.399650075970349,3,3,2,1,2.7042926535,1.2502926535,2.7508926535,2,1.454,0.0466000000000002,0.0466000000000002,1.4074,5.82264510269842
5784,58,6,0.754590909090909,0.245409090909091,0.526605504587156,6,6,5,1,2.9381926535,1.4702926535,3.0143926535,2,1.4679,0.0761999999999996,0.0761999999999996,1.3917,5.80726529900117
5654,57,6,0.7765,0.2235,0.455233787305177,6,6,5,1,2.4279,0.8825926535,2.3618926535,3,1.5453073465,0.0660073465000002,0.0660073465000002,1.4793,5.80504047267858
5725,58,3,0.699681818181818,0.300318181818182,0.652029864675688,3,3,2,1,2.9393926535,1.7254926535,3.0174926535,2,1.2139,0.0781000000000001,0.0781000000000001,1.1358,5.7812296666561
3060,31,6,0.715909090909091,0.284090909090909,0.370136648320364,6,6,5,1,2.5715926535,1.114,2.6148926535,3,1.4575926535,0.0432999999999999,0.0432999999999999,1.4142926535,5.61073464641592
2959,30,6,0.837090909090909,0.162909090909091,0.374257520597816,6,6,5,1,2.4343,0.8860926535,2.3842926535,2,1.5482073465,0.0500073464999997,0.0500073464999997,1.4982,5.60671427633218
3056,31,6,0.555090909090909,0.444909090909091,0.398176597995265,1,6,5,1,2.0608,0.8314926535,2.0256926535,1,1.2293073465,0.0351073464999998,0.0351073464999998,1.1942,5.58709104302702
8607,87,3,0.922590909090909,0.0774090909090909,0.891854287882621,3,3,2,1,0.106285307,1.7438,3.0749926535,1,1.503985307,0.1727926535,0.1727926535,1.3311926535,5.32885558554478
192,2,6,0.553045454545455,0.446954545454545,0.311251026553518,1,5,4,1,0.2479926535,1.4477,0.2285,3,1.1997073465,0.0194926534999999,0.0194926534999999,1.180214693,5.28607005558934
9252,93,6,0.772590909090909,0.227409090909091,0.543612916328188,6,6,5,1,0.2078,1.6018,0.1204,4,1.394,0.0874,0.0874,1.3066,5.16946605876573
4272,43,6,0.724954545454545,0.275045454545455,0.391561059907834,6,6,5,1,2.6608926535,1.2768926535,2.7121926535,1,1.384,0.0512999999999999,0.0512999999999999,1.3327,5.15136648113693
4440,45,6,0.758681818181818,0.241318181818182,0.4214826474777,5,5,4,1,0.0203,1.1251,3.1236926535,3,1.1048,0.0381073465000004,0.0381073465000004,1.0666926535,5.10278043207431
6799,69,3,0.739227272727273,0.260772727272727,0.519783423573511,3,3,2,1,2.0607926535,0.4923,2.1610926535,1,1.5684926535,0.1003,0.1003,1.4681926535,5.07745977313179
7229,73,3,0.784409090909091,0.215590909090909,0.757091205377604,3,3,2,1,3.1318,1.2696,0.1171,2,1.2793,0.1268,0.1268,1.1525,4.93522406220411
6160,62,6,0.879954545454545,0.120045454545455,0.376125059213643,6,6,5,1,0.2887,1.8355926535,0.3518,4,1.5468926535,0.0631,0.0631,1.4837926535,4.93449690237361
8579,86,6,0.755272727272727,0.244727272727273,0.5327188470744,6,6,5,1,2.7115,1.4590926535,2.7889926535,1,1.2524073465,0.0774926535000002,0.0774926535000002,1.174914693,4.90929621027718
2114,22,3,0.411045454545454,0.588954545454546,0.37791534696228,1,2,1,1,0.2621,1.324,0.2293,2,1.0619,0.0328,0.0328,1.0291,4.69701308645994
8031,81,3,0.422772727272727,0.577227272727273,0.395861178964834,1,3,2,1,0.5772,2.0215,0.6446,2,1.4443,0.0673999999999999,0.0673999999999999,1.3769,4.64277050525281
8390,85,3,0.468545454545455,0.531454545454545,0.399662654996353,1,3,2,1,2.3369926535,0.9341,2.4063926535,1,1.4028926535,0.0693999999999999,0.0693999999999999,1.3334926535,4.46354450850873
7844,79,6,0.842272727272727,0.157727272727273,0.384003808616996,6,6,5,1,1.6798,0.1388926535,1.7581926535,1,1.5409073465,0.0783926535000001,0.0783926535000001,1.462514693,4.37416936998125
8077,81,6,0.739272727272727,0.260727272727273,0.407613513247316,6,6,5,1,2.2692926535,0.8043926535,2.1832926535,1,1.4649,0.0859999999999999,0.0859999999999999,1.3789,4.1327814221818
2429,25,3,0.602409090909091,0.397590909090909,0.458814896349294,3,3,2,1,0.571,2.0053926535,0.4725,1,1.4343926535,0.0985,0.0985,1.3358926535,4.12745757137633
7871,79,6,0.731590909090909,0.268409090909091,0.404387813757425,6,6,5,1,0.1343,1.3425,0.0712,2,1.2082,0.0631,0.0631,1.1451,4.09429253345382
5252,53,6,0.927090909090909,0.0729090909090909,0.368491921005386,6,6,5,1,1.5868,0.0168,1.499,5,1.57,0.0877999999999999,0.0877999999999999,1.4822,3.96356114161236
896,9,6,0.813954545454545,0.186045454545455,0.366941600303375,6,6,5,1,1.6358,0.1498,1.5556,5,1.486,0.0801999999999998,0.0801999999999998,1.4058,3.96195469820649
2939,30,3,0.673954545454545,0.326045454545455,0.640661599502844,3,3,2,1,0.3179,1.7835,0.4791,2,1.4656,0.1612,0.1612,1.3044,3.95681340147495
9217,93,3,0.628045454545455,0.371954545454545,0.561220113648547,2,2,1,1,0.0571,1.1131,0.1452,2,1.056,0.0881,0.0881,0.9679,3.93341743664322
7556,76,6,0.7545,0.2455,0.454536580604227,6,6,5,1,1.7562926535,0.1987926535,1.6338926535,1,1.5575,0.1224,0.1224,1.4351,3.78367428552857
3233,33,3,0.430863636363636,0.569136363636364,0.389203160050717,1,2,1,1,0.1992926535,1.0917926535,0.1596,2,0.8925,0.0396926535000001,0.0396926535000001,0.8528073465,3.70058529010145
828,9,3,0.383,0.617,0.333774964424162,1,2,1,1,0.1145,0.9816,0.0886,2,0.8671,0.0259,0.0259,0.8412,3.69922924998162
225,3,3,0.561227272727273,0.438772727272727,0.482461763897793,3,3,2,1,2.9422926535,1.9125926535,3.0189926535,2,1.0297,0.0767000000000002,0.0767000000000002,0.953,3.62893497233304
602,7,3,0.447772727272727,0.552227272727273,0.352358339801836,1,3,2,1,0.8444926535,2.2360926535,0.9223,2,1.3916,0.0778073464999999,0.0778073464999999,1.3137926535,3.6220593800616
6480,65,6,0.804,0.196,0.411806543385491,6,6,5,1,0.3453,1.7740926535,0.447,3,1.4287926535,0.1017,0.1017,1.3270926535,3.60254079360655
1325,14,3,0.786,0.214,0.761401057778665,3,3,2,1,3.0998073465,1.1637926535,0.1307,2,1.205485307,0.1723926535,0.1723926535,1.0330926535,3.53697762394056
9339,94,6,0.856772727272727,0.143227272727273,0.367594233440299,6,6,5,1,1.4790926535,0.0381926534999999,1.3877,5,1.4409,0.0913926535,0.0913926535,1.3495073465,3.50846459330873
8538,86,6,0.758045454545455,0.241954545454545,0.455799077181208,6,6,5,1,2.5786,1.0992926535,2.7109926535,3,1.4793073465,0.1323926535,0.1323926535,1.346914693,3.36593860734204
5346,54,6,0.7585,0.2415,0.480579710144928,6,6,5,1,0.5155,2.0600926535,0.6657,4,1.5445926535,0.1502,0.1502,1.3943926535,3.34723684938685
8836,89,3,0.602136363636364,0.397863636363636,0.346725647573878,1,3,2,1,1.4448,0.1022,1.3632,2,1.3426,0.0816000000000001,0.0816000000000001,1.261,3.32234834035456
5958,60,6,0.489272727272727,0.510727272727273,0.3616639233877,1,6,5,1,0.8625926535,1.9959,0.7963,5,1.1333073465,0.0662926535000001,0.0662926535000001,1.067014693,3.31835854259445
5256,53,6,0.710045454545455,0.289954545454545,0.458786011566942,6,6,5,1,0.5542926535,1.9948,0.4211,4,1.4405073465,0.1331926535,0.1331926535,1.307314693,3.274027000566
8638,87,6,0.701227272727273,0.298772727272727,0.316740803502083,1,5,4,1,0.1138,1.0718926535,0.1542,2,0.9580926535,0.0404,0.0404,0.9176926535,3.21538394289324
7456,75,6,0.807227272727273,0.192772727272727,0.397393959219278,6,6,5,1,0.4405,1.8448926535,0.3274,4,1.4043926535,0.1131,0.1131,1.2912926535,3.14624095699039
4346,44,6,0.516863636363636,0.483136363636364,0.203166102968809,1,5,4,1,2.9093,2.0356,2.9031926535,3,0.8737,0.00610734649999989,0.00610734649999989,0.8675926535,3.14157466662522
3241,33,3,0.821818181818182,0.178181818181818,0.420028784994661,3,3,2,1,1.7154926535,0.1909,1.5791926535,1,1.5245926535,0.1363,0.1363,1.3882926535,3.13002080765764
9593,97,3,0.893045454545455,0.106954545454545,0.516410548283058,3,3,2,1,1.5513926535,0.0317,1.7260926535,1,1.5196926535,0.1747,0.1747,1.3449926535,3.09109209448429
1323,14,3,0.488409090909091,0.511590909090909,0.460943577540841,1,3,2,1,2.3888926535,0.9166926535,2.5377926535,1,1.4722,0.1489,0.1489,1.3233,3.06670003096931
2670,27,6,0.669,0.331,0.413314200789217,6,6,5,1,2.8151926535,1.4986,2.9312926535,3,1.3165926535,0.1161,0.1161,1.2004926535,2.98724058780662
3567,36,6,0.820681818181818,0.179318181818182,0.427694705567191,6,6,5,1,0.0288,1.2173926535,0.1351,2,1.1885926535,0.1063,0.1063,1.0822926535,2.96155366459512
7498,76,3,0.395909090909091,0.604090909090909,0.38660431852565,1,3,2,1,2.3175,0.9123926535,2.1973926535,1,1.4051073465,0.1201073465,0.1201073465,1.285,2.92042971410092
